0 0 -0.4
0 1 0.1
0 2 0.7
0 3 1.2
0 4 2.1
0 5 1.6
0 6 2.3
0 7 2.3
0 8 2.8
0 9 2.8
0 10 2.6
0 11 2.0
0 12 2.1
0 13 2.0
0 14 1.9
0 15 2.1
0 16 1.6
0 17 1.1
0 18 0.5
0 19 0.3
0 20 -0.1
1 0 0.9
1 1 1.0
1 2 1.7
1 3 1.8
1 4 2.3
1 5 2.0
1 6 2.2
1 7 3.0
1 8 2.5
1 9 3.3
1 10 2.8
1 11 3.4
1 12 2.9
1 13 2.8
1 14 2.8
1 15 2.7
1 16 2.5
1 17 2.0
1 18 1.3
1 19 1.4
1 20 0.5
2 0 0.7
2 1 1.4
2 2 1.5
2 3 2.1
2 4 2.0
2 5 2.6
2 6 2.9
2 7 3.2
2 8 2.9
2 9 3.7
2 10 3.4
2 11 3.9
2 12 2.9
2 13 2.8
2 14 2.8
2 15 3.0
2 16 2.5
2 17 2.2
2 18 1.7
2 19 1.3
2 20 1.2
3 0 1.0
3 1 2.1
3 2 2.7
3 3 2.1
3 4 2.4
3 5 3.1
3 6 3.7
3 7 3.5
3 8 3.4
3 9 3.4
3 10 4.1
3 11 4.2
3 12 3.9
3 13 3.8
3 14 3.8
3 15 3.2
3 16 3.1
3 17 2.6
3 18 1.9
3 19 2.1
3 20 1.0
4 0 1.4
4 1 2.5
4 2 2.8
4 3 2.7
4 4 3.5
4 5 3.3
4 6 3.7
4 7 3.6
4 8 4.0
4 9 4.6
4 10 3.8
4 11 4.4
4 12 3.7
4 13 4.2
4 14 3.3
4 15 3.9
4 16 2.8
4 17 3.2
4 18 2.3
4 19 1.8
4 20 1.9
5 0 1.5
5 1 2.6
5 2 3.0
5 3 3.0
5 4 3.4
5 5 4.2
5 6 3.5
5 7 4.5
5 8 3.8
5 9 4.4
5 10 4.7
5 11 3.9
5 12 4.0
5 13 4.1
5 14 4.2
5 15 3.7
5 16 3.6
5 17 3.0
5 18 2.4
5 19 2.7
5 20 2.0
6 0 1.9
6 1 2.4
6 2 2.5
6 3 3.4
6 4 3.2
6 5 4.4
6 6 4.5
6 7 4.2
6 8 4.7
6 9 4.9
6 10 4.8
6 11 4.6
6 12 4.5
6 13 4.8
6 14 4.0
6 15 4.4
6 16 3.9
6 17 3.1
6 18 3.2
6 19 2.8
6 20 2.0
7 0 2.7
